sample;samplename_field;Individual;Individual_ID;replicate_ID;site;elevation;elevation_adj;altitudinal_level;habitat;treeline;Fieldcontrol;plate;sampletype;extract_blank;site_elevation;pH;C_oxid;OM;P_brayll;Ca;Mg;K;Al;CICe;Fe;Mn;Cu;Zn;B;S;N_total;N_NH4;N_NO3
S_S1_5_P1;soil_DOM_1;S;DOM_1_S;DOM_1_S;DOM;3815;3800;1;paramo;above;S_S1_5;P1;S;E_S1_8;DOM_1;5,12;171,6;389,6;2,53;0,54;0,25;0,22;3,28;4,292;45,48;3,163;0,061;1,436;2,48;99,93;10,08;66,505;0
S_S1_6_P1;soil_DOM_2;S;DOM_2_S;DOM_2_S;DOM;3534;3500;2;subparamo;above;S_S1_6;P1;S;E_S1_8;DOM_2;5,24;108;245,2;1,47;1,38;0,61;0,65;1,517;4,158;7,493;23,82;0,031;21,96;2,56;112,4;8,598;269,017;2,563
E_9_12_P1;;;;;;;;;;;;P1;E;E_9_12;;;;;;;;;;;;;;;;;;;
E_10_12_P1;;;;;;;;;;;;P1;E;E_10_12;;;;;;;;;;;;;;;;;;;
P_PC1_4_P1;;;;;;;;;;;;P1;P;E_BC;;;;;;;;;;;;;;;;;;;
T_T8_P1;;;;;;;;;;;;P1;T;;;;;;;;;;;;;;;;;;;;
S_S1_7_P1;soil_DOM_3;S;DOM_3_S;DOM_3_S;DOM;3224;3300;3;forest;below;S_S1_7;P1;S;E_S1_8;DOM_3;5,16;54,62;124;2,72;0,45;0,15;0,13;3,28;4,007;19,6;38,41;0,417;3,696;0,5;67,47;3,516;40,273;0,37
E_S1_8_P1;;;;;;;;;;;;P1;E;E_S1_8;;;;;;;;;;;;;;;;;;;
S_S2_2_P1;soil_BEL_2;S;BEL_2_S;BEL_2_S;BEL;2950;3000;2;forest;below;S_S2_2;P1;S;E_S2_6;BEL_2;4,87;81,73;185,6;11,32;0,24;0,36;0,37;2,741;3,721;88,63;7,344;2,237;2,264;0,75;96,41;4,472;91,911;0
E_S2_6_P1;;;;;;;;;;;;P1;E;E_S2_6;;;;;;;;;;;;;;;;;;;
N_PCRB5_P1;;;;;;;;;;;;P1;N;;;;;;;;;;;;;;;;;;;;
S_S2_3_P1;soil_BEL_3;S;BEL_3_S;BEL_3_S;BEL;2700;2700;3;forest;below;S_S2_3;P1;S;E_S2_6;BEL_3;3,78;135,4;307,4;34,23;1,58;1,66;0,86;5,335;9,432;360,83;64,79;1,986;12,5;3,65;119,9;6,439;117,371;0
T_T9_P1;;;;;;;;;;;;P1;T;;;;;;;;;;;;;;;;;;;;
S_S2_4_P1;soil_MA_1;S;MA_1_S;MA_1_S;MA;3677;3800;1;paramo;above;S_S2_4;P1;S;E_S2_6;MA_1;3,5;126,5;287,2;53,04;3,36;0,68;0,5;3,329;7,864;51,77;6,725;0,157;40,47;3,67;42,7;4,163;140,21;0,425
E_11_12_P1;;;;;;;;;;;;P1;E;E_11_12;;;;;;;;;;;;;;;;;;;
E_12_6_P1;;;;;;;;;;;;P1;E;E_12_6;;;;;;;;;;;;;;;;;;;
P_PC1_5_P1;;;;;;;;;;;;P1;P;E_BC;;;;;;;;;;;;;;;;;;;
S_S2_5_P1;soil_MA_2;S;MA_2_S;MA_2_S;MA;3380;3300;2;subparamo;above;S_S2_5;P1;S;E_S2_6;MA_2;4,4;101,8;231,1;34,85;0,47;0,43;0,49;11,7;13,09;59,37;2,689;0,018;7,046;1,59;97,3;10,45;107,874;1,341
S_9_2_P1;NV_3_V_A;5;NV_3_5;NV_3_5_a;NV;3333;3300;3;forest;below;S_S1_3;P1;S;E_9_12;NV_3;4,79;101,2;229,8;20,39;4,31;1,25;0,63;2,398;8,588;82,87;77,96;0,197;6,441;2,52;89,27;8,494;115,616;0
T_T10_P1;;;;;;;;;;;;P1;T;;;;;;;;;;;;;;;;;;;;
S_9_6_P1;NV_3_IV_B;4;NV_3_4;NV_3_4_b;NV;3333;3300;3;forest;below;S_S1_3;P1;S;E_9_12;NV_3;4,79;101,2;229,8;20,39;4,31;1,25;0,63;2,398;8,588;82,87;77,96;0,197;6,441;2,52;89,27;8,494;115,616;0
S_9_7_P1;NV_3_V_B;5;NV_3_5;NV_3_5_b;NV;3333;3300;3;forest;below;S_S1_3;P1;S;E_9_12;NV_3;4,79;101,2;229,8;20,39;4,31;1,25;0,63;2,398;8,588;82,87;77,96;0,197;6,441;2,52;89,27;8,494;115,616;0
S_9_8_P1;NV_4_I_A;1;NV_4_1;NV_4_1_a;NV;3078;3000;3;forest;below;S_S1_4;P1;S;E_9_12;NV_4;4,64;98,13;222,8;8,54;1,35;0,75;0,29;5,678;8,059;27,12;33,801;0,049;1,957;1,2;81,65;7,805;48,129;0,345
